,CompleteInfo?,UUID,Multipack?,Order,AlphaTitle,IMDBLink,DisplayTitle,Year,Rating,RunTime,Director,Starring,Genres,Tags,Formats,Synopsis,ImageLink,Ra Too?
Amanda,,tt2229499,,,Don Jon,https://www.imdb.com/title/tt2229499,Don Jon,2013,R,1:30,Joseph Gordon-Levitt,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore","Comedy, Drama, Romance", ,D,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.", ,
Amanda,,,,,Doom,https://www.imdb.com/title/,Doom,,,,,,, ,,, ,
Amanda,,,,,Down With Love,https://www.imdb.com/title/,Down With Love,,,,,,, ,,, ,
Amanda,,tt0829150,,,Dracula Untold,https://www.imdb.com/title/tt0829150,Dracula Untold,2014,PG-13,1:32,,"Luke Evans, Dominic Cooper, Sarah Gadon","Action, Drama, Fantasy", ,D,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.", ,
Amanda,,,,,Dragon Wars,https://www.imdb.com/title/,Dragon Wars,,,,,,, ,,, ,
Amanda,,tt0116136,,,DragonHeart,https://www.imdb.com/title/tt0116136,DragonHeart,1996,PG-13,1:43,Rob Cohen,"Dennis Quaid, Sean Connery","Action, Adventure, Fantasy", ,D,"The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality.", ,
Amanda,,tt0214641,,,Dragonheart: A New Beginning,https://www.imdb.com/title/tt0214641,Dragonheart: A New Beginning,1999,PG,1:24,Doug Lefler,"Chripher Masterson, arry van Gorkum, Rona Figueroa","Action, Adventure, Comedy", ,D,An orphaned stable boy befriends with a young dragon named Drake and with the help of others help him learn how to fly and fight and protect himself from a ruthless knight., ,
Amanda,,,,,Dredd,https://www.imdb.com/title/,Dredd,,,,,,, ,,, ,
Amanda,,,,,Drive Me Crazy,https://www.imdb.com/title/,Drive Me Crazy,,,,,,, ,,, ,
Amanda,,tt0132245,,,Driven,https://www.imdb.com/title/tt0132245,Driven,2001,PG-13,1:56,,"Sylvester Stallone, Kip Pardue, Til Schwieger","Action, Drama, Sport", ,D,A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance., ,
Amanda,,,,,Drunken Master,https://www.imdb.com/title/,Drunken Master,,,,,,, ,,, ,
